material,h_holding,h_ordering,h_stockout,h_operational,opt_holding,opt_ordering,opt_stockout,opt_operational,h_purchase_actual,opt_purchase_actual,h_total_actual,opt_total_actual,total_saving_actual,total_saving_pct_actual,demand_purchase,h_total_demand,opt_total_demand,total_saving_demand,total_saving_pct_demand,op_saving,op_saving_pct
碟形弹簧,178353,201886,257931,638170,218056,184930,56322,459307,1945144,1996735,2583314,2456043,127271,4.9,1871482,2509652,2330790,178862,7.1,178862,28.0
止推环,40066,41111,92735,173912,50280,43991,7402,101673,544565,592383,718477,694056,24421,3.4,547492,721404,649164,72239,10.0,72239,41.5
定位轴套,18402,20712,33797,72910,34815,16400,2156,53371,74562,80617,147472,133988,13484,9.1,87638,160548,141009,19539,12.2,19539,26.8
密封圈,38906,106224,198601,343731,114585,59918,29843,204346,384177,401058,727908,605405,122503,16.8,393164,736895,597510,139384,18.9,139384,40.6
